instrument,base_pitch_hz,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,spectral_flatness_mean,spectral_flux_mean,energy_sub_bass,energy_bass,energy_low_mid,energy_mid,energy_high_mid,energy_high,energy_air,harmonic_ratio,attack_time,decay_time,sustain_ratio,release_time,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
aguitar,97.92428346437242,390.2871494107585,912.7810233423335,470.963351525993,4.787261786987074e-05,2.2770087718963623,1.902837357192766e-05,0.836079478263855,0.10390271246433258,0.054050177335739136,0.005770992022007704,0.00017155292152892798,6.077141733840108e-06,0.9828633925359834,0.046439909297052155,0.7894784580498866,0.1317567229270935,4.133151927437642,-496.8711242675781,105.8677749633789,60.47421646118164,32.296775817871094,17.197690963745117,6.547769546508789,-2.3020787239074707,-6.598199844360352,-5.398004055023193,-1.4099797010421753,4.233835697174072,9.85302734375,10.771448135375977,0.01254311203956604,0.00750005804002285,0.03457468003034592,0.029880492016673088,0.07118967175483704,0.16068938374519348,0.4825902581214905,0.99973064661026,0.5759296417236328,0.23026354610919952,0.07708317786455154,0.05689403787255287
bguitar,43.62030930661031,354.26204438932496,718.5743267613448,317.47639023254965,2.0293693523854017e-05,1.8118752241134644,0.0002516686508897692,0.66142338514328,0.3316149413585663,0.00652600172907114,0.00017122142890002578,1.2475691619329154e-05,2.918420989317383e-07,0.9962027161426439,0.06965986394557823,5.990748299319728,0.39926114678382874,13.815873015873017,-444.272705078125,152.36512756347656,71.83088684082031,58.72462844848633,28.52924346923828,12.486329078674316,10.374034881591797,-0.9441980123519897,-8.46535873413086,-13.449542045593262,-12.832799911499023,-16.951623916625977,-16.577123641967773,0.751733660697937,0.4057264029979706,0.10151836276054382,0.11521690338850021,0.31530287861824036,0.9314025640487671,0.4683701694011688,0.052595242857933044,0.036564454436302185,0.100526362657547,0.08422566205263138,0.24161766469478607
cello,73.36032345637369,693.3629962264405,1322.2599939726165,782.0467862215909,0.0001753561373334378,2.8120336532592773,0.00017654035764280707,0.10315541923046112,0.7428591847419739,0.15333643555641174,0.00042034959187731147,3.234868199797347e-05,1.9554649043129757e-05,0.9956316295065875,0.06965986394557823,0.4179591836734694,0.46681368350982666,0.5340589569160997,-470.0718688964844,162.98072814941406,33.33930969238281,7.987061977386475,14.466246604919434,-5.426201343536377,-13.430109024047852,-13.204647064208984,-13.308788299560547,-11.872088432312012,-16.695674896240234,-19.96457290649414,-21.937862396240234,0.013887795619666576,0.19491180777549744,0.7539379596710205,0.3142695128917694,0.09175248444080353,0.048046525567770004,0.09561772644519806,0.03178461268544197,0.14024268090724945,0.44980984926223755,0.23477411270141602,0.01913870871067047
eguitar,105.56063286183154,394.02067704742745,385.11617202129634,579.6599357358871,3.6326055123936385e-05,0.7971289157867432,8.05362196842907e-06,0.36177781224250793,0.2174668312072754,0.42046043276786804,0.00026403937954455614,1.5833191355341114e-05,6.348685928969644e-06,0.9910415836682361,0.046439909297052155,0.3250793650793651,0.16583815217018127,2.507755102040816,-602.2084350585938,150.31004333496094,74.63160705566406,24.72373390197754,5.725481986999512,-3.1073412895202637,-10.12055778503418,-15.451414108276367,-20.20396614074707,-22.935508728027344,-19.93134880065918,-11.10937213897705,-2.6141514778137207,0.7072885036468506,0.10998791456222534,0.15993064641952515,0.778591513633728,0.2525689899921417,0.013250047340989113,0.03329730033874512,0.23235411942005157,0.622359573841095,0.25871893763542175,0.044838596135377884,0.171040877699852
flute,344.95429857371363,758.4977201405413,964.4714557182509,992.761921432783,1.5867386537138373e-05,10.117775917053223,1.0587881860146808e-07,0.00018252369773108512,0.823178768157959,0.17521138489246368,0.0013348294887691736,9.030652290675789e-05,2.2318229184747906e-06,0.9989523545046008,0.046439909297052155,1.6021768707482993,0.6218485236167908,0.8126984126984127,-397.3681335449219,84.97789001464844,-14.100109100341797,9.063728332519531,-10.215827941894531,-14.756707191467285,-28.200626373291016,-26.287227630615234,-29.864757537841797,-23.332117080688477,-23.765676498413086,-16.076629638671875,-26.247516632080078,0.021380482241511345,0.014394680969417095,0.0005699461326003075,0.00465012900531292,0.2400231659412384,0.9980146884918213,0.3532673716545105,0.009455089457333088,0.0005974198575131595,0.003249543718993664,0.0014941353583708405,0.0010344547918066382
hihat,5144.837400938023,5311.232877328103,3043.3240705295475,8868.44970703125,0.18594269454479218,16.104307174682617,1.4371112229127903e-05,0.0579342320561409,0.13822722434997559,0.062262825667858124,0.1138756200671196,0.4252498149871826,0.2024359256029129,0.18353522104660983,0.046439909297052155,0.06965986394557823,0.6364966630935669,0.11609977324263039,-201.27963256835938,-7.217499732971191,22.371906280517578,2.9532978534698486,-18.219181060791016,3.7523581981658936,-13.402048110961914,-17.911623001098633,-20.342437744140625,-14.675481796264648,-21.30414390563965,-20.567424774169922,-22.75867462158203,0.47850745916366577,0.585140585899353,0.7143933773040771,0.8125519752502441,0.5191563963890076,0.5697027444839478,0.4668881893157959,0.44210830330848694,0.639112651348114,0.7919965982437134,0.6221975088119507,0.5099509954452515
kickdrum,60.62866266041592,467.2353054913607,733.7742061589435,678.2958984375,0.0003642453229986131,46.46207046508789,0.0015233048470690846,0.5739110112190247,0.3642835319042206,0.058519624173641205,0.0013407939113676548,0.00031766341999173164,0.00010407966328784823,0.018046417621228245,0.046439909297052155,0.046439909297052155,0.23951277136802673,0.25541950113378686,-365.4393615722656,171.84738159179688,58.69532775878906,17.39942741394043,9.901947021484375,4.521450996398926,-3.4029154777526855,-8.73232364654541,-13.145121574401855,-13.226261138916016,-12.040844917297363,-11.3087797164917,-9.862483978271484,0.3059244751930237,0.3050719201564789,0.3445092737674713,0.39153826236724854,0.28908711671829224,0.4660301208496094,0.752414882183075,0.45510566234588623,0.3071708679199219,0.29193827509880066,0.30730995535850525,0.3816526234149933
piano,580.1416661939907,946.8794514726212,947.372698794956,1382.012939453125,0.00023946212604641914,1.141022801399231,1.1266536859011467e-07,7.876641029724851e-05,0.0013179025845602155,0.9951649308204651,0.0033505002502352,7.074620225466788e-05,1.7180056602228433e-05,0.987580832222523,0.046439909297052155,0.2089795918367347,0.35558608174324036,0.5804988662131519,-659.707275390625,71.62174987792969,-12.07094955444336,0.1171090304851532,-14.355518341064453,-31.05358123779297,-32.00857925415039,-35.7600212097168,-20.352767944335938,-8.163260459899902,-5.625585079193115,9.302605628967285,27.379499435424805,0.0030189184471964836,0.1897987723350525,1.0,0.17550653219223022,0.0028744740411639214,0.0008067312883213162,0.0012917830608785152,0.0005067874444648623,0.0013302464503794909,0.00922907143831253,0.0019885553047060966,0.0007711844518780708
snaredrum,4090.23762249763,4154.062081136037,2872.431058183125,7582.91748046875,0.16915231943130493,65.17404174804688,5.011167445445608e-07,0.2630707323551178,0.3316795825958252,0.06287083029747009,0.12050729244947433,0.18618793785572052,0.035683173686265945,0.23995333314126932,0.046439909297052155,0.09287981859410431,0.6685762405395508,0.09287981859410431,-50.89937210083008,6.776669502258301,-8.543111801147461,24.83663558959961,-8.3936185836792,-7.101997375488281,-30.040515899658203,-18.033071517944336,-27.028812408447266,-17.973873138427734,-26.801437377929688,-20.251012802124023,-26.125341415405273,0.456596702337265,0.5988408923149109,0.737593412399292,0.7240345478057861,0.6645986437797546,0.7079087495803833,0.7257333993911743,0.6624090671539307,0.6598572731018066,0.5125486254692078,0.37535178661346436,0.38849762082099915
trumpet,231.56307799046047,1543.2480552794514,1012.1044422571073,2318.292433215726,9.963320917449892e-05,7.534067630767822,2.9512554178268147e-08,0.010115147568285465,0.059014394879341125,0.8577612042427063,0.07265396416187286,0.0004532990278676152,2.0370478068798548e-06,0.9886359962304506,0.046439909297052155,2.461315192743764,0.6372884511947632,0.37151927437641724,-329.27691650390625,86.9162368774414,-144.11436462402344,-11.084404945373535,-32.34308624267578,-16.713102340698242,-19.249807357788086,-21.375160217285156,-19.149818420410156,-13.522958755493164,-10.777006149291992,-13.102395057678223,-15.546167373657227,0.078276127576828,0.25631600618362427,0.8897646069526672,0.09406651556491852,0.15763260424137115,0.9329874515533447,0.15853016078472137,0.23124366998672485,0.44134071469306946,0.18108949065208435,0.922711968421936,0.16025835275650024
